[1, 3, 2, 6, 5, 4, 7, 8, 9, 10, 11, 12]
[1, 2, 3, 11, 12, 4, 5, 10, 9, 8, 7, 6]
[3, 4, 5, 6, 12, 11, 10, 9, 8, 7, 2, 1]
[1, 2, 3, 4, 5, 6, 10, 9, 8, 12, 11, 7]
[1, 4, 3, 2, 6, 5, 12, 11, 10, 9, 8, 7]
[1, 2, 3, 4, 8, 7, 6, 10, 9, 5, 11, 12]
[1, 2, 3, 8, 7, 6, 4, 5, 12, 11, 10, 9]
[1, 2, 7, 8, 10, 9, 3, 4, 5, 6, 11, 12]
[12, 11, 10, 9, 1, 2, 3, 4, 5, 6, 7, 8]
[1, 2, 3, 4, 5, 7, 6, 12, 11, 10, 9, 8]
[1, 8, 9, 10, 11, 12, 2, 3, 4, 7, 6, 5]
[12, 11, 10, 1, 2, 3, 4, 9, 8, 7, 6, 5]
[1, 2, 9, 10, 11, 12, 8, 7, 6, 5, 3, 4]
[1, 2, 3, 4, 5, 12, 11, 6, 10, 9, 8, 7]
[6, 7, 2, 1, 5, 4, 3, 8, 9, 10, 11, 12]
[7, 6, 5, 4, 1, 2, 3, 9, 8, 10, 11, 12]
[9, 8, 7, 2, 1, 6, 5, 4, 3, 10, 11, 12]
[1, 2, 3, 10, 8, 7, 6, 5, 4, 9, 11, 12]
[1, 2, 3, 4, 5, 8, 12, 11, 10, 9, 7, 6]
[12, 4, 3, 2, 1, 11, 10, 9, 8, 7, 6, 5]
[1, 2, 7, 8, 9, 10, 11, 3, 6, 5, 4, 12]
[9, 8, 7, 6, 3, 4, 5, 2, 1, 10, 11, 12]
[1, 4, 3, 2, 5, 6, 7, 8, 9, 12, 11, 10]
[1, 2, 6, 5, 4, 3, 8, 9, 10, 11, 12, 7]
[3, 4, 2, 1, 11, 10, 9, 8, 7, 6, 5, 12]
[1, 8, 9, 10, 11, 12, 7, 6, 5, 2, 3, 4]
[1, 7, 8, 9, 6, 5, 2, 3, 4, 10, 11, 12]
[1, 2, 5, 4, 3, 11, 10, 9, 6, 7, 8, 12]
[1, 2, 3, 9, 8, 7, 6, 5, 4, 12, 11, 10]
[2, 1, 3, 4, 5, 6, 7, 12, 11, 10, 9, 8]
[1, 6, 12, 11, 10, 9, 8, 7, 2, 3, 4, 5]
[1, 2, 3, 4, 5, 6, 11, 7, 8, 10, 9, 12]
[1, 7, 8, 9, 10, 11, 12, 2, 3, 6, 5, 4]
[1, 2, 3, 12, 11, 10, 9, 8, 4, 7, 6, 5]
[1, 12, 2, 3, 4, 11, 10, 9, 8, 7, 6, 5]
[2, 3, 1, 4, 5, 6, 7, 8, 9, 10, 11, 12]
[1, 2, 3, 9, 8, 7, 12, 11, 10, 4, 5, 6]
[1, 4, 5, 3, 2, 6, 7, 8, 9, 10, 11, 12]
[6, 7, 8, 9, 10, 11, 3, 4, 5, 2, 1, 12]
[3, 4, 2, 1, 8, 7, 6, 5, 9, 10, 11, 12]
[1, 2, 3, 4, 5, 6, 7, 11, 9, 10, 8, 12]
[1, 2, 3, 4, 6, 5, 7, 8, 10, 9, 11, 12]
[1, 2, 3, 4, 11, 5, 10, 9, 8, 7, 6, 12]
[1, 2, 3, 4, 5, 8, 7, 6, 11, 9, 10, 12]
[1, 2, 3, 4, 5, 9, 8, 10, 11, 6, 7, 12]
[1, 2, 3, 4, 10, 9, 11, 8, 7, 6, 5, 12]
[1, 3, 2, 9, 8, 7, 4, 5, 6, 10, 11, 12]
[7, 1, 2, 3, 4, 5, 6, 10, 9, 8, 11, 12]
